timestamp,target_yaw_angle,current_yaw_angle,frequency
1747156848072336,62990,62988,0.192735
1747156848172336,62990,62988,0.192735
1747156848272336,62990,62988,0.192735
1747156848374336,60409,61549,0.19287
1747156848474336,59868,60076,0.193128
1747156848574336,59213,59359,0.193386
1747156848672336,58757,58711,0.193641
1747156848774336,58186,58313,0.193904
1747156848874336,57702,57782,0.194163
1747156848974336,57390,57481,0.194423
1747156849074336,57126,57153,0.194682
1747156849174336,57017,57035,0.194943
1747156849274336,57020,56998,0.195203
1747156849372336,57134,57061,0.195459
1747156849474336,57375,57320,0.195726
1747156849574336,57769,57683,0.195988
1747156849674336,58177,58076,0.196249
1747156849774336,58761,58661,0.196512
1747156849874336,59288,59194,0.196775
1747156849974336,59966,59798,0.197038
1747156850072336,60525,60431,0.197296
1747156850174336,61125,61044,0.197565
1747156850274336,61728,61623,0.197829
1747156850374336,62157,62027,0.198094
1747156850474336,62576,62506,0.198359
1747156850574336,62819,62751,0.198627
1747156850674336,62979,62948,0.19889
1747156850772336,62992,63023,0.200809
1747156850872336,62992,63018,0.20081
1747156850972336,62992,63001,0.20081
1747156851072336,62992,62989,0.20081
1747156851172336,62992,62988,0.20081
1747156851272336,62992,62988,0.20081
1747156851372336,62992,62989,0.20081
1747156851474336,60023,60342,0.201025
1747156851574336,59321,59478,0.201293
1747156851672336,58772,58847,0.201557
1747156851774336,58215,58329,0.201833
1747156851874336,57697,57800,0.202102
1747156851974336,57368,57466,0.202372
1747156852074336,57102,57144,0.202643
1747156852174336,57006,57014,0.202914
1747156852274336,57044,57003,0.203185
1747156852374336,57226,57159,0.203456
1747156852474336,57504,57437,0.20373
1747156852572336,57926,57832,0.203996
1747156852672336,58397,58295,0.204268
1747156852772336,58984,58860,0.204544
1747156852872336,59560,59510,0.204817
1747156852972336,60221,60147,0.205092
1747156853073336,60873,60759,0.205369
1747156853173336,61425,61336,0.205644
1747156853273336,61972,61901,0.205915
1747156853373336,62383,62333,0.20619
1747156853472336,62754,62711,0.206463
1747156853572336,62936,62915,0.206739
1747156853672336,62997,63033,0.207016
1747156853772336,62982,63020,0.209223
1747156853872336,62974,62973,0.209223
1747156853972336,62964,62957,0.209223
1747156854072336,62953,62954,0.209223
1747156854172336,62953,62953,0.209224
1747156854272336,62953,62953,0.209224
1747156854372336,62953,62952,0.209224
1747156854472336,62953,62953,0.20924
1747156854572336,58596,60254,0.20952
1747156854672336,57979,58125,0.2098
1747156854772336,57528,57639,0.210081
1747156854872336,57205,57230,0.210362
1747156854972336,57030,57043,0.210643
1747156855072336,57006,56997,0.210925
1747156855172336,57152,57063,0.211206
1747156855272336,57410,57403,0.211489
1747156855372336,57877,57816,0.211772
1747156855472336,58423,58356,0.212055
1747156855572336,59057,58910,0.212339
1747156855672336,59742,59651,0.212622
1747156855772336,60443,60225,0.212906
1747156855872336,61122,61061,0.213191
1747156855972336,61740,61676,0.213476
1747156856072336,62263,62180,0.213762
1747156856172336,62661,62592,0.214047
1747156856272336,62911,62837,0.214334
1747156856372336,62999,62997,0.214621
1747156856472336,62935,63013,0.214907
1747156856572336,62673,62752,0.215195
1747156856672336,62276,62367,0.215482
1747156856772336,61748,61819,0.21577
1747156856872336,61118,61202,0.216059
1747156856972336,60424,60594,0.216348
1747156857072336,59703,59861,0.216638
1747156857172336,59066,59152,0.216927
1747156857272336,58350,58462,0.217217
1747156857372336,57797,57856,0.217507
1747156857472336,57372,57449,0.217798
1747156857572336,57100,57131,0.218089
1747156857672336,57000,57016,0.218381
1747156857772336,57077,57007,0.218673
1747156857872336,57297,57224,0.218966
1747156857972336,57741,57677,0.219258
1747156858072336,58290,58215,0.219551
1747156858172336,58944,58832,0.219845
1747156858272336,59662,59559,0.220138
1747156858372336,60402,60202,0.220433
1747156858472336,61119,61057,0.220728
1747156858572336,61709,61671,0.221023
1747156858672336,62312,62225,0.221319
1747156858772336,62743,62701,0.221614
1747156858872336,62958,62922,0.22191
1747156858972336,62989,63033,0.222207
1747156859072336,62856,62900,0.222504
1747156859172336,62538,62605,0.222802
1747156859272336,62113,62178,0.2231
1747156859372336,61448,61570,0.223399
1747156859472336,60743,60872,0.223697
1747156859572336,59990,60087,0.223996
1747156859672336,59236,59366,0.224295
1747156859772336,58529,58620,0.224595
1747156859872336,57916,57993,0.224896
1747156859972336,57479,57520,0.225196
1747156860072336,57126,57155,0.225498
1747156860172336,57001,57017,0.225802
1747156860274336,57092,57007,0.226107
1747156860374336,57415,57309,0.226409
1747156860472336,57784,57778,0.226706
1747156860574336,58509,58378,0.227015
1747156860672336,59152,59148,0.227312
1747156860774336,60077,59882,0.227623
1747156860872336,60848,60730,0.227921
1747156860972336,61495,61418,0.228225
1747156861072336,62117,62001,0.228531
1747156861172336,62513,62500,0.228836
1747156861274336,62897,62823,0.229148
1747156861372336,62999,62997,0.229448
1747156861474336,62872,62991,0.229762
1747156861572336,62546,62624,0.230063
1747156861672336,62099,62175,0.23037
1747156861772336,61464,61581,0.230678
1747156861874336,60645,60944,0.230993
1747156861972336,59850,59990,0.231295
1747156862074336,58988,59157,0.231611
1747156862172336,58410,58522,0.231914
1747156862274336,57739,57847,0.232231
1747156862372336,57332,57423,0.232535
1747156862472336,57063,57101,0.232846
1747156862572336,57002,57013,0.233157
1747156862674336,57194,57030,0.233476
1747156862774336,57631,57541,0.233787
1747156862874336,58147,57995,0.2341
1747156862974336,58926,58760,0.234413
1747156863074336,59640,59419,0.234727
1747156863172336,60458,60302,0.235034
1747156863272336,61167,61128,0.235349
1747156863374336,61937,61799,0.235669
1747156863474336,62531,62428,0.235984
1747156863574336,62849,62773,0.2363
1747156863674336,62999,62973,0.236616
1747156863774336,62917,63015,0.236932
1747156863872336,62614,62718,0.237243
1747156863972336,62110,62201,0.23756
1747156864074336,61442,61630,0.237884
1747156864174336,60579,60798,0.238202
1747156864274336,59828,60010,0.23852
1747156864374336,58927,59108,0.238839
1747156864474336,58260,58416,0.239158
1747156864574336,57598,57716,0.239478
1747156864672336,57223,57261,0.239793
1747156864774336,57016,57040,0.240119
1747156864872336,57046,57011,0.240434
1747156864974336,57313,57194,0.240762
1747156865074336,57853,57741,0.241084
1747156865174336,58383,58346,0.241406
1747156865274336,59326,59187,0.241729
1747156865372336,60093,59981,0.242046
1747156865474336,60937,60750,0.242376
1747156865574336,61776,61640,0.242699
1747156865674336,62336,62170,0.243024
1747156865774336,62807,62740,0.243349
1747156865872336,62974,62962,0.243668
1747156865974336,62946,63013,0.244
1747156866074336,62620,62752,0.244326
1747156866172336,62212,62307,0.244647
1747156866274336,61462,61662,0.24498
1747156866374336,60646,60891,0.245308
1747156866474336,59686,59917,0.245636
1747156866572336,59000,59058,0.245958
1747156866674336,58154,58321,0.24629
1747156866774336,57497,57648,0.246619
1747156866872336,57179,57232,0.246943
1747156866972336,57004,57008,0.247273
1747156867074336,57068,57008,0.24761
1747156867174336,57474,57371,0.247941
1747156867272336,58059,57942,0.248266
1747156867374336,58816,58644,0.248604
1747156867474336,59769,59567,0.248937
1747156867574336,60574,60350,0.24927
1747156867674336,61497,61287,0.249604
1747156867774336,62072,61980,0.249937
1747156867874336,62705,62590,0.250271
1747156867974336,62968,62896,0.250605
1747156868072336,62975,63011,0.250937
1747156868172336,62726,62804,0.251272
1747156868272336,62288,62411,0.251605
1747156868373336,61602,61739,0.25195
1747156868472336,60855,60916,0.252282
1747156868573336,59860,60017,0.252619
1747156868672336,58964,59102,0.252953
1747156868772336,58163,58279,0.253292
1747156868872336,57531,57652,0.25363
1747156868972336,57159,57233,0.253969
1747156869072336,57000,57014,0.254309
1747156869172336,57077,57014,0.254649
1747156869272336,57523,57442,0.25499
1747156869372336,58085,58035,0.25533
1747156869472336,58970,58826,0.255672
1747156869572336,59884,59740,0.256014
1747156869672336,60719,60549,0.256356
1747156869772336,61580,61455,0.256699
1747156869872336,62227,62092,0.257043
1747156869972336,62776,62727,0.257386
1747156870072336,62983,62966,0.25773
1747156870172336,62913,63001,0.258074
1747156870272336,62546,62670,0.258419
1747156870372336,61925,62050,0.258765
1747156870472336,61112,61222,0.259111
1747156870572336,60280,60396,0.259457
1747156870672336,59238,59388,0.259804
1747156870772336,58366,58503,0.260152
1747156870872336,57658,57747,0.260499
1747156870972336,57186,57242,0.260848
1747156871072336,57001,57016,0.261197
1747156871172336,57123,57010,0.261546
1747156871272336,57487,57436,0.261896
1747156871372336,58213,58080,0.262247
1747156871472336,59073,58904,0.262597
1747156871572336,60030,59897,0.262947
1747156871672336,60986,60841,0.2633
1747156871772336,61762,61643,0.263651
1747156871872336,62503,62434,0.264004
1747156871972336,62875,62826,0.264357
1747156872072336,62992,62991,0.26471
1747156872172336,62764,62889,0.265064
1747156872272336,62239,62343,0.265418
1747156872372336,61473,61633,0.265773
1747156872472336,60643,60847,0.266129
1747156872572336,59558,59735,0.266484
1747156872672336,58705,58719,0.266841
1747156872772336,57823,57903,0.267197
1747156872872336,57268,57345,0.267555
1747156872972336,57012,57044,0.267913
1747156873072336,57087,56998,0.268271
1747156873172336,57431,57360,0.26863
1747156873272336,58163,58039,0.268989
1747156873372336,59049,58881,0.269348
1747156873472336,60043,59896,0.269708
1747156873572336,61034,60890,0.270069
1747156873672336,61910,61737,0.270431
1747156873772336,62570,62490,0.270792
1747156873872336,62916,62839,0.271154
1747156873972336,62971,63006,0.271516
1747156874072336,62661,62755,0.271879
1747156874172336,62043,62159,0.272243
1747156874272336,61188,61320,0.272607
1747156874372336,60294,60412,0.272972
1747156874472336,59171,59325,0.273337
1747156874572336,58331,58408,0.273702
1747156874672336,57526,57649,0.274068
1747156874772336,57097,57144,0.274434
1747156874872336,57012,57009,0.274802
1747156874972336,57283,57151,0.275169
1747156875072336,57806,57698,0.275536
1747156875172336,58732,58590,0.275906
1747156875272336,59739,59590,0.276274
1747156875372336,60780,60606,0.276643
1747156875472336,61727,61607,0.277013
1747156875572336,62466,62364,0.277383
1747156875672336,62904,62829,0.277754
1747156875772336,62993,62993,0.278126
1747156875872336,62697,62810,0.278498
1747156875972336,62074,62210,0.278876
1747156876072336,61192,61325,0.279244
1747156876172336,60159,60270,0.279616
1747156876272336,59104,59347,0.27999
