timestamp,target_yaw_angle,current_yaw_angle
13102050,59383,59383
13112050,59383,59383
13122050,59383,59383
13132050,59383,59383
13142050,59383,59383
13152050,59383,59383
13162050,59383,59383
13172050,59383,59383
13182050,59383,59383
13192050,59383,59383
13202050,59383,59383
13212050,59383,59383
13222050,59383,59383
13232050,59383,59383
13242050,59383,59383
13252050,59383,59383
13262050,59383,59383
13272050,59383,59383
13282050,59383,59383
13292050,59383,59383
13302050,59383,59383
13312050,59383,59383
13322050,59383,59383
13332050,59383,59383
13342050,59383,59383
13352050,59383,59383
13362050,59383,59383
13372050,59383,59383
13382050,59383,59383
13392050,59383,59383
13402050,59383,59383
13412050,59383,59383
13422050,59383,59383
13432050,59383,59383
13442050,59383,59383
13452050,59383,59383
13462050,59383,59383
13472050,59383,59383
13482050,59383,59383
13492050,59383,59383
13502050,59383,59383
13512050,59383,59383
13522050,59383,59383
13532050,59383,59383
13542050,59383,59383
13552050,59383,59383
13562050,59383,59383
13572050,59383,59383
13582050,59383,59383
13592050,59383,59383
13602050,59383,59383
13612050,59383,59383
13622050,59383,59383
13632050,59383,59383
13642050,59383,59383
13652050,59383,59383
13662050,59383,59383
13672050,59383,59383
13682050,59383,59383
13692050,59383,59383
13702050,59383,59383
13712050,59383,59383
13722050,59383,59383
13732050,59383,59383
13742050,59383,59383
13752050,59383,59383
13762050,59383,59383
13772050,59383,59383
13782050,59383,59383
13792050,59383,59383
13802050,59383,59384
13812050,59383,59383
13822050,59383,59383
13832050,59383,59383
13842050,59383,59383
13852050,59383,59383
13862050,59383,59383
13872050,59383,59383
13882050,59383,59383
13892050,59383,59383
13902050,59383,59383
13912050,59383,59383
13922050,59383,59383
13932050,59383,59383
13942050,59383,59383
13952050,59383,59383
13962050,59383,59383
13972050,59383,59383
13982050,59383,59383
13994050,30000,59383
14003050,30000,59261
14012050,30000,58927
14022050,30000,58489
14032050,30000,58073
14042050,30000,57644
14052050,30000,57250
14062050,30000,56844
14072050,30000,56445
14082050,30000,56021
14092050,30000,55594
14102050,30000,55170
14112050,30000,54737
14122050,30000,54311
14132050,30000,53874
14142050,30000,53478
14152050,30000,53068
14162050,30000,52676
14172050,30000,52274
14182050,30000,51847
14192050,30000,51427
14202050,30000,51000
14212050,30000,50579
14222050,30000,50141
14232050,30000,49714
14242050,30000,49304
14252050,30000,48905
14262050,30000,48509
14272050,30000,48104
14282050,30000,47678
14292050,30000,47247
14302050,30000,46822
14312050,30000,46385
14322050,30000,45957
14332050,30000,45531
14342050,30000,45134
14352050,30000,44724
14362050,30000,44342
14372050,30000,43924
14382050,30000,43503
14392050,30000,43075
14402050,30000,42659
14412050,30000,42224
14422050,30000,41799
14432050,30000,41370
14442050,30000,40971
14452050,30000,40569
14462050,30000,40173
14472050,30000,39757
14482050,30000,39322
14492050,30000,38899
14502050,30000,38467
14512050,30000,38044
14522050,30000,37606
14532050,30000,37202
14542050,30000,36796
14552050,30000,36395
14562050,30000,36008
14572050,30000,35578
14582050,30000,35166
14592050,30000,34738
14602050,30000,34323
14612050,30000,33881
14622050,30000,33458
14632050,30000,33035
14642050,30000,32639
14652050,30000,32235
14662050,30000,31835
14672050,30000,31410
14682050,30000,30979
14692050,30000,30558
14702050,30000,30122
14712050,30000,29696
14722050,30000,29262
14732050,30000,28869
14742050,30000,28467
14752050,30000,28176
14762050,30000,28128
14772050,30000,28392
14782050,30000,28803
14792050,30000,29201
14802050,30000,29618
14812050,30000,29955
14822050,30000,30066
14832050,30000,30011
14842050,30000,29980
14852050,30000,29993
14862050,30000,29989
14872050,30000,29991
14882050,30000,29991
14892050,30000,29991
14902050,30000,29991
14912050,30000,29991
14922050,30000,29991
14932050,30000,29991
14942050,30000,29991
14952050,30000,29991
14962050,30000,29992
14972050,30000,29992
14982050,30000,29992
14992050,30000,29992
15002050,30000,29992
15012050,30000,29992
15022050,30000,29993
15032050,30000,29993
15042050,30000,29993
15052050,30000,29994
15062050,30000,29994
15072050,30000,29994
15082050,30000,29995
15092050,30000,29995
15102050,30000,29995
15112050,30000,29995
15122050,30000,29995
15132050,30000,29995
15142050,30000,29995
15152050,30000,29995
15162050,30000,29995
15172050,30000,29995
15182050,30000,29996
15192050,30000,29996
15202050,30000,29996
15212050,30000,29997
15222050,30000,29997
15232050,30000,29997
15242050,30000,29998
15252050,30000,29998
15262050,30000,29998
15272050,30000,29998
15282050,30000,29998
15292050,30000,29999
15302050,30000,30000
15312050,30000,30000
15322050,30000,30000
15332050,30000,29999
15342050,30000,29999
15352050,30000,30000
15362050,30000,30000
15372050,30000,30000
15382050,30000,30000
15392050,30000,30000
15402050,30000,30000
15412050,30000,30000
15422050,30000,30000
15432050,30000,30000
15442050,30000,30000
15452050,30000,30000
15462050,30000,30000
15472050,30000,30000
15482050,30000,30000
15492050,30000,30000
15502050,30000,30001
15512050,30000,30000
15522050,30000,30001
15532050,30000,30001
15542050,30000,30000
15552050,30000,30001
15562050,30000,30000
15572050,30000,30000
15582050,30000,30001
15592050,30000,30000
15602050,30000,30001
15612050,30000,30000
15622050,30000,30000
15632050,30000,30001
15642050,30000,30001
15652050,30000,30001
15662050,30000,30001
15672050,30000,30001
15682050,30000,30001
15693050,30000,30001
15702050,30000,30001
15712050,30000,30001
15722050,30000,30001
15732050,30000,30001
15742050,30000,30001
15752050,30000,30001
15762050,30000,30001
15772050,30000,30001
15782050,30000,30000
15792050,30000,30001
15802050,30000,30000
15812050,30000,30001
15822050,30000,30000
15832050,30000,30001
15842050,30000,30000
15852050,30000,30001
15862050,30000,30001
15872050,30000,30001
15882050,30000,30001
15892050,30000,30001
15902050,30000,30001
15912050,30000,30000
15922050,30000,30001
15932050,30000,30001
15942050,30000,30001
15952050,30000,30001
15962050,30000,30000
15972050,30000,30000
15982050,30000,30001
15992050,30000,30000
16002050,30000,30001
16012050,30000,30000
16022050,30000,30000
16032050,30000,30000
16042050,30000,30000
16052050,30000,30000
16062050,30000,30000
16072050,30000,30000
16082050,30000,30000
16092050,30000,30001
16102050,30000,30001
16112050,30000,30001
16122050,30000,30001
16132050,30000,30001
16142050,30000,30000
16152050,30000,30000
16162050,30000,30000
16172050,30000,30001
16182050,30000,30001
16192050,30000,30000
16202050,30000,30001
16212050,30000,30000
16222050,30000,30000
16232050,30000,30000
16242050,30000,30000
16252050,30000,30001
16262050,30000,30000
16272050,30000,30001
16282050,30000,30000
16292050,30000,30000
16302050,30000,30000
16312050,30000,30001
16322050,30000,30000
16332050,30000,30001
16342050,30000,30000
16352050,30000,30001
16362050,30000,30000
16372050,30000,30000
16382050,30000,30000
16392050,30000,30000
16402050,30000,30000
16412050,30000,30000
16422050,30000,30000
16432050,30000,30000
16442050,30000,30000
16452050,30000,30000
16462050,30000,30000
16472050,30000,30000
16482050,30000,30000
16492050,30000,30001
16502050,30000,30000
16512050,30000,30000
16522050,30000,30000
16532050,30000,30000
16542050,30000,30000
16552050,30000,30000
16562050,30000,30000
16572050,30000,30000
16582050,30000,30000
16592050,30000,30000
16602050,30000,30000
16612050,30000,30000
16622050,30000,30000
16632050,30000,30001
16642050,30000,30000
16652050,30000,30000
16662050,30000,30000
16672050,30000,30000
16682050,30000,30001
16692050,30000,30000
16702050,30000,30000
16712050,30000,30000
16722050,30000,30000
16732050,30000,30000
16742050,30000,30000
16752050,30000,30000
16762050,30000,30000
16772050,30000,30000
16782050,30000,30000
16792050,30000,30000
16802050,30000,30000
16812050,30000,30000
16822050,30000,30000
16832050,30000,30000
16842050,30000,30000
16852050,30000,30000
16862050,30000,30001
16872050,30000,30000
16882050,30000,30000
16892050,30000,30000
16902050,30000,30000
16912050,30000,30000
16922050,30000,30000
16932050,30000,30001
16942050,30000,30000
16952050,30000,30001
16962050,30000,30000
16972050,30000,30000
16982050,30000,30000
16992050,30000,30000
17002050,30000,30000
17012050,30000,30000
17022050,30000,30000
17032050,30000,30000
17042050,30000,30000
17052050,30000,30000
17062050,30000,30000
17072050,30000,30000
